Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
adult,-0.0816025361418724,0.09316501766443253,0.05652748420834541,0.18140481412410736,0.003103934694081545,0.11764557659626007,-0.0018775821663439274,-0.1284777820110321,0.16133831441402435,0.2214864045381546,0.19239090383052826,0.1320887953042984,-0.15977278351783752,0.380971759557724,-0.37059715390205383,0.04284321144223213,-0.14007720351219177,-0.07975371181964874,0.08982991427183151,0.10708429664373398,-0.14517192542552948,0.1533176749944687,-0.3366609215736389,-0.16713301837444305,0.09231849759817123,0.08506666868925095,0.21654827892780304,-0.038646042346954346,-0.20493412017822266,0.22691263258457184,0.26337188482284546,0.142946258187294
bank,-0.2340209037065506,-0.13376690447330475,0.01069317664951086,0.16098755598068237,0.03390711545944214,-0.1738845258951187,0.08169294893741608,-0.2340565025806427,0.3298261761665344,0.11338543891906738,0.2234426736831665,0.20990829169750214,-0.01753648929297924,0.15331856906414032,-0.017939461395144463,0.13494950532913208,-0.3388032615184784,0.11654800176620483,0.008119318634271622,-0.191260427236557,-0.10001157224178314,0.08133105933666229,-0.20731498301029205,-0.00927188154309988,-0.07028332352638245,-0.1435886174440384,0.248345747590065,0.13791191577911377,-0.3057558834552765,-0.06831090897321701,0.34074854850769043,-0.07262995839118958
blood,-0.2035837471485138,-0.09591453522443771,-0.010812732391059399,0.04478776827454567,0.015065759420394897,-0.28533250093460083,0.14532415568828583,-0.22448627650737762,0.343000590801239,-0.06711786985397339,0.10001296550035477,0.18852563202381134,-0.10093256831169128,0.10121974349021912,0.05990798398852348,0.2975097894668579,-0.28575924038887024,0.2707673907279968,-0.08566845953464508,-0.306667298078537,0.07116655260324478,0.05918131023645401,-0.12954598665237427,0.019383329898118973,-0.07380250841379166,-0.21687796711921692,0.08679863065481186,0.06608320772647858,-0.22043296694755554,-0.10340671986341476,0.31938591599464417,-0.07801736891269684
breast-tissue,0.1320692002773285,-0.05005646497011185,-0.27021101117134094,-0.06701816618442535,0.3510846793651581,-0.3068310618400574,0.0562470443546772,-0.056549958884716034,0.0565761961042881,0.21210455894470215,0.030253935605287552,0.028794540092349052,0.1459943652153015,0.0039446051232516766,-0.025255681946873665,-0.03884214907884598,0.17397035658359528,0.28079959750175476,0.3031250238418579,-0.21028415858745575,0.22361093759536743,0.28907302021980286,0.0814240425825119,-0.07478076219558716,0.12194908410310745,-0.07486920803785324,0.3081599175930023,0.19078786671161652,0.21321111917495728,0.08428473770618439,-0.011565295979380608,0.09913432598114014
chess-krvk,0.059611108154058456,0.13144426047801971,-0.10436614602804184,0.06311209499835968,0.07352130115032196,0.13535618782043457,-0.19384720921516418,0.3422214090824127,-0.11927814036607742,0.16746845841407776,0.026520609855651855,-0.0467364601790905,0.242831289768219,-0.18778209388256073,0.021414706483483315,-0.13575772941112518,0.40909719467163086,-0.13745824992656708,0.10243886709213257,0.06382125616073608,-0.19103573262691498,-0.19340835511684418,0.1578097641468048,0.253947913646698,-0.19054260849952698,0.06573733687400818,0.0473562628030777,-0.13634298741817474,0.3331047296524048,-0.1685992181301117,-0.18738655745983124,-0.16589461266994476
congressional-voting,-0.24083413183689117,-0.11984407156705856,-0.05581335350871086,-0.19068467617034912,-0.27326086163520813,-0.15756934881210327,0.02904614247381687,0.03963274136185646,0.17714284360408783,-0.31350022554397583,-0.18717151880264282,-0.0188463032245636,-0.15573792159557343,-0.02173760160803795,0.13830627501010895,0.3380228281021118,-0.21169991791248322,0.380412757396698,-0.2510552406311035,-0.12800896167755127,0.27415862679481506,-0.013017220422625542,-0.02307274378836155,0.14364929497241974,0.06555808335542679,-0.07795815169811249,-0.09193755686283112,-0.192071333527565,-0.1843656748533249,-0.024940896779298782,0.0236471239477396,-0.08212439715862274
cylinder-bands,-0.324870228767395,-0.29992008209228516,0.02341180108487606,-0.05316970869898796,-0.3523622155189514,0.03763337433338165,-0.1037449985742569,0.09359341859817505,0.05462419614195824,-0.1643364578485489,-0.05859397351741791,-0.06155896931886673,0.10858257859945297,-0.22616858780384064,0.30194947123527527,-0.01380038820207119,-0.33842653036117554,0.06343753635883331,-0.21933633089065552,0.05519355833530426,-0.040130458772182465,-0.16070953011512756,0.03023785911500454,0.24743765592575073,-0.04566632956266403,0.008829042315483093,0.024951498955488205,-0.022472867742180824,-0.3250719904899597,-0.18132233619689941,-0.10115044564008713,-0.230550155043602
dermatology,0.11735415458679199,0.009859049692749977,-0.2369311898946762,-0.0215261522680521,0.31220999360084534,-0.29776984453201294,0.08287601172924042,-0.08865625411272049,0.10493648052215576,0.2445705085992813,0.07781051099300385,0.06371954083442688,0.09121978282928467,0.00866119284182787,-0.06736067682504654,-0.040257252752780914,0.14078004658222198,0.285105437040329,0.2680319845676422,-0.22079691290855408,0.23133842647075653,0.29968270659446716,-0.006491165142506361,-0.0852886289358139,0.12436928600072861,-0.04365566372871399,0.3574768602848053,0.22422140836715698,0.19910046458244324,0.1045711562037468,-0.009081346914172173,0.12136062979698181
energy-y1,0.10063900798559189,-0.28833431005477905,-0.1408880054950714,-0.22354577481746674,0.21449734270572662,0.053359504789114,-0.14420321583747864,0.09595541656017303,-0.2728349268436432,-0.1503267139196396,-0.24503356218338013,-0.1926906257867813,0.1782718300819397,0.21539373695850372,0.021112684160470963,0.07262708991765976,0.15708792209625244,-0.0986066684126854,0.25537148118019104,0.16575823724269867,-0.08906864374876022,0.03369839861989021,0.36448898911476135,-0.07876782864332199,0.07762124389410019,-0.13141509890556335,-0.3054659962654114,-0.26433607935905457,-0.01845366507768631,0.04417099058628082,0.1261088252067566,0.007872018963098526
heart-hungarian,-0.21799291670322418,-0.08378244936466217,-0.057798679918050766,-0.1472703069448471,-0.17774564027786255,-0.2286904901266098,0.08455576747655869,-0.04488949105143547,0.24752512574195862,-0.2683253586292267,-0.12703901529312134,0.0483914278447628,-0.18530979752540588,0.04994504153728485,0.08745592832565308,0.38805434107780457,-0.21310412883758545,0.4057679772377014,-0.20903880894184113,-0.2109307050704956,0.2705894112586975,0.034037962555885315,-0.06360838562250137,0.09077785909175873,0.04567191004753113,-0.13290713727474213,-0.05866500735282898,-0.14823122322559357,-0.17266777157783508,-0.019840192049741745,0.1309126615524292,-0.05596330761909485
